id,name,description,species,firstappearance,yearcreated
1,Mario,Hero of the Mushroom Kingdom,Human,Donkey Kong,1981
2,Luigi,Mario's twin brother,Human,Mario Bros.,1983
3,Bowser,King of the Koopas,Koopa,Super Mario Bros.,1985
4,Princess Peach,Mario's love interest,Human,Super Mario Bros.,1985
5,Bowser Jr.,Heir to the Koopa throne,Koopa,Super Mario Sunshine,2002
6,Princess Daisy,Princess of Sarasaland,Human,Super Mario Land,1989
7,Toad,Pricess Peach's companion,Toad,Super Mario Bros.,1988
8,Yoshi,Mario's companion,Yoshi,Super Mario World,1990
9,Wario,Mario's 'evil twin',Human,Super Mario Land 2,1992
10,Waluigi,Wario's pal & accomplice,Human,Mario Tennis,2000
11,Rosalina,Protector of the Luma creatures,Human,Super Mario Galaxy,2007
12,Donkey Kong,King of the jungle,Kong,Donkey Kong,1981
13,Diddy Kong,Donkey Kong's trusted friend,Kong,Donkey Kong Country,1994
14,ramiro,jaimes
15,leobardo,jimenez,aguila
15,hola,casa,humano
15,ramon,rodriguez,juman,1980,1980
15,pedro ,joaquin,coslaw,1978,1878
15,jose,alto,human,2000,1998
16,rogelio,skinny,human,1978,1990
